,Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
2613,JEWELRY TELEVISION,,,910,Retail,,397924000,http://www.jtv.com
2615,JIFFY,,,201-500,Food and Beverage Manufacturing,,35M,http://www.jiffymix.com
2617,JL AUDIO,,,330,electrical/electronic manufacturing,,131250000,http://www.jlaudio.com
2641,JOHNSON-LANCASTER AND ASSOCIATES,,,110,Retail,,27361000,http://www.johnson-lancaster.com
2643,JONES SIGN,,Wisconsin,370,Construction,,135800000,jonessign.com
2649,JONTI-CRAFT,,,77,Furniture,,71000000,jonti-craft.com
2654,JOURNEY GROUP,,South Dakota,98,Construction,,150000000,journeyconstruction.com
2660,JOYCE DAYTON,,,51-200,Machinery Manufacturing,,44.4M,http://www.joycedayton.com
2667,JR AUTOMATION,,,1700,Industrial Machinery Manufacturing,,600000000,jrautomation.com
2671,JTM FOOD,,,"501-1,000",Food and Beverage Manufacturing,,155.2M,http://www.jtmfoodgroup.com
2675,JUNGLE JIM'S INTERNATIONAL MARKET,,,340,Retail,,34289000,http://www.junglejims.com
2677,JUST BORN,,,"501-1,000",Food and Beverage Manufacturing,,243M,http://www.justborn.com
2679,JUST GOT 2 HAVE IT !,,,67,Retail,,39886000,http://www.justgot2haveit.com
2681,JWF INDUSTRIES,,Pennsylvania,170,machinery,,$108.2M,jwfi.com
2683,K&G FASHION SUPERSTORE,,,760,Retail,,318363000,http://www.kgstores.com
2689,KAHLER AUTOMATION,,Minnesota,59,machinery,,31782000,kahlerautomation.com
2693,KANE INNOVATIONS,,Pennsylvania,53,mining & metals,,35000000,kaneinnovations.com
2695,KAPCO,,,201-500,Plastics Manufacturing,,81.5M,http://www.kapco.com
2697,KAPCO METAL STAMPING,,,201-500,Mechanical Or Industrial Engineering,,97.5M,http://www.kapcoinc.com/
2700,KATUN,,,390,Retail,,75400000,http://www.katun.com
2702,KAYSUN CORPORATION,,,201-500,Plastics Manufacturing,,33.2M,http://www.kaysun.com
2706,KC JONES PLATING,,,51-200,Motor Vehicle Manufacturing,,44215000,http://www.kcjplating.com
2708,KEH,,,220,Retail,,30000000,http://www.keh.com
2710,KEITHLEY INSTRUMENTS,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,44.2M,http://www.keithley.com/
2714,KELPAC MEDICAL,,Minnesota,580,medical devices,,120000000,kelpacmedical.com
2717,KENALL LIGHTING,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,35.7M,http://www.kenall.com
2719,KENAN ADVANTAGE GROUP,https://www.linkedin.com/company/82488,,1119,Transportation/Trucking/Railroad,,250000000,
2721,KENDALL PACKAGING,,Wisconsin,73,Packaging & Containers,,$26M,kendallpkg.com
2724,KENDRICK PLASTICS,,Michigan,92,Automotive,,76100000,kendrickplastics.com
2729,KENNEDY TANK AND MANUFACTURING,,Indiana,70,Mechanical Or Industrial Engineering,,26000000,kennedytank.com
2731,KENT DISPLAYS,,,73,electrical/electronic manufacturing,,28301000,http://www.kentdisplays.com
2733,KENT QUALITY FOODS,,,51-200,Food and Beverage Manufacturing,,35M,http://www.kqf.com
2735,KENWAL STEEL,,,201-500,Mining,,251.2M,http://www.kenwal.com
2741,KEYSTONE POWDERED METAL,,,201-500,Motor Vehicle Manufacturing,,100M,http://keystonepm.com
2743,KI,,,"1,001-5,000",Furniture and Home Furnishings Manufacturing,,209M,http://www.ki.com
2745,KI MOBILITY,,,201-500,Medical Equipment Manufacturing,,52.9M,http://www.kimobility.com
2753,KICHLER LIGHTING,,,201-500,Manufacturing,,450M,http://www.kichler.com
2756,KILWINS CHOCOLATES FRANCHISE,,,51-200,Food and Beverage Manufacturing,,50000000,http://www.kilwins.com
2761,KINETICO,,,201-500,Manufacturing,,218M,http://www.kinetico.com
2764,KINEX MEDICAL COMPANY,,Wisconsin,170,medical devices,,65300000,kinexmedical.com
2770,KING BUSINESS INTERIORS,,,51-200,Furniture and Home Furnishings Manufacturing,,$33.8M,https://www.kbiinc.com/
2773,"KINGSBURY, INC.",,Pennsylvania,200,machinery,,48500000,kingsbury.com
2781,KIP,,,51-200,Retail Office Equipment,,37.5M,http://www.kip.com
2791,KLEEN TEST PRODUCTS CORPORATION,,,"501-1,000",Manufacturing,,300M,http://www.kleentest.com
2798,KLN FAMILY BRANDS,,,109,Mechanical Or Industrial Engineering,,354300000,klnfamilybrands.com
2800,KLOSTERMAN BAKING,,,"501-1,000",Food and Beverage Manufacturing,,245M,http://www.klostermanbakery.com
2802,KMC CONTROLS,,,180,electrical/electronic manufacturing,,72000000,http://www.kmccontrols.com
2805,KNAPE & VOGT MANUFACTURING,,,"1,001-5,000",Manufacturing,,46497000,http://www.knapeandvogt.com
2807,KNIGHT GLOBAL,,Michigan,130,machinery,,25000000,knightglobal.com
2810,KNOTT BRAKE,,,51-200,Motor Vehicle Manufacturing,,30.5M,http://www.knottbrake.com
2812,KNOUSE FOODS,,,"1,001-5,000",Food and Beverage Manufacturing,,45.3M,http://www.knouse.com
2814,KOENIG EQUIPMENT,,,201-500,Oil and Gas,,43.0M,http://www.koenigequipment.com
2816,KONDEX CORPORATION,,,120,Industrial Machinery Manufacturing,,27900000,kondex.com
2818,KOOPS AUTOMATION SYSTEMS,,,201-500,Automation Machinery Manufacturing,,31.6M,http://www.koops.com
2820,KRB MACHINERY COMPANY,,Pennsylvania,57,Construction,,26090000,krbmachinery.com
2825,"KROFF, INC.",,,84,Chemical Manufacturing,,60000000,kroff.com
2827,KRYSTAL BIOTECH,,,51-200,Biotechnology,,70.9M,http://www.krystalbio.com/
2832,KURT J. LESKER,,,201-500,Semiconductor Manufacturing,,220M,http://www.lesker.com
2834,KURTZ BROS.,,,51-200,Manufacturing,,31.1M,http://www.kurtz-bros.com
2836,KYOCERA SGS,,,"5,001-10,000",Industrial Machinery Manufacturing,,55M,http://www.kyocera-sgstool.com
2838,L & S ELECTRIC,,,201-500,Automation Machinery Manufacturing,,63.2M,https://www.lselectric.com
2840,L&L PRODUCTS,,,"1,001-5,000",Automotive,,150M,http://www.llproducts.com
2842,LA-CO INDUSTRIES,,,51-200,Chemical Manufacturing,,32M,https://www.lacoindustries.com
2845,LAFORCE,,,"501-1,000",Construction,,162.3M,http://www.laforceinc.com
2848,LAFRANCE,,,"501-1,000",Manufacturing,,75M,http://www.lafrancecorp.com
2850,LAIRD CONNECTIVITY,,,51-200,Computers and Electronics Manufacturing,,56.4M,http://www.lairdconnect.com
2854,LAKE SHORE CRYOTRONICS,,,170,electrical/electronic manufacturing,,25000000,http://www.lakeshore.com
2867,LAKESIDE FOODS,,,"1,001-5,000",Food and Beverage Manufacturing,,300M,http://lakesidefoods.com
2869,LAMINATIONS,,Wisconsin,96,Packaging & Containers,,$32.2M,laminationsonline.com
2871,LANDAAL PACKAGING SYSTEMS,,Michigan,78,Packaging & Containers,,$50.0M,landaal.com
2873,LANDSCAPE FORMS,,,201-500,Furniture and Home Furnishings Manufacturing,,81.9M,http://www.landscapeforms.com
2876,LANE BRYANT,,,4000,Retail,,380000000,http://www.lanebryant.com
2878,LANNETT COMPANY,,,"1,001-5,000",Pharmaceutical Manufacturing,,308.5M,http://www.lannett.com
2880,LANTECH,,,201-500,Machinery Manufacturing,,242.9M,http://www.lantech.com
2885,LASER MECHANISMS,,Michigan,71,Semiconductors,,$34.5M,lasermech.com
2887,LASKO PRODUCTS,,,"501-1,000",Manufacturing,,130M,http://www.lasko.com
2890,"LAVELLE INDUSTRIES, INC.",,Wisconsin,500,Manufacturing,,153600000,lavelle.com
2894,LB WHITE COMPANY,,Wisconsin,76,Machinery Manufacturing,,$53.0M,lbwhite.com
2896,LDV,,Wisconsin,110,Automotive,,126300000,ldvusa.com
2905,LEBANON SEABOARD,,,201-500,Manufacturing,,215.7M,http://www.lebsea.com
2907,LEE INDUSTRIES,,,201-500,Machinery Manufacturing,,50M,http://www.leeind.com/
2909,LEER GROUP,,Indiana,300,Automotive,,600000000,leer.com
2912,LEGACY INDUSTRIES,,,140,Automation Machinery Manufacturing,,56900000,legacy-ind.com
2914,LENEX STEEL COMPANY,,Indiana,55,Construction,,27000000,lenexsteel.com
2916,LENOX,,,201-500,Manufacturing,,400M,http://www.lenox.com
2919,LESCO DESIGN & MANUFACTURING,,Kentucky,89,Industrial Automation,,25000000,lescodesign.com
2923,LESTER BUILDING SYSTEMS,,Minnesota,130,Construction,,39000000,lesterbuildings.com
2926,LESTER SALES COMPANY,,Indiana,63,electrical/electronic manufacturing,,25000000,lestersalesco.com
2929,LEVENGER COMPANY,,,96,Retail,,45000000,http://www.levenger.com
2931,LEWCO,,,51-200,Machinery Manufacturing,,31.9M,http://www.lewcoinc.com
2942,LIBRA INDUSTRIES,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,40M,http://www.libraindustries.com
2948,LIFECORE BIOMEDICAL,,Minnesota,270,Pharmaceuticals,,185800000,lifecore.com
2951,LIFESCAN,,Pennsylvania,2083,medical devices,,501400000,lifescan.com
2954,LIGHTCORP,,Michigan,54,electrical/electronic manufacturing,,$30M,lightcorp.com
2957,LINCOLN ELECTRIC,https://www.linkedin.com/company/10281,,5001,machinery,,328600000,lincolnelectric.com
2962,LINCOLN ELECTRIC HOLDINGS INC.,https://www.linkedin.com/company/10281,Ohio,5001,machinery,,328600000,lincolnelectric.com
2964,LINDAR CORPORATION,,Minnesota,68,plastics,,$35M,lindarcorp.com
2966,LINK ENGINEERING,,,"501-1,000",Industrial Machinery Manufacturing,,162.9M,http://www.linkeng.com
2968,"LIPHATECH, INC.",,,74,Chemical Manufacturing,,52000000,liphatech.com
2970,LITTFIN LUMBER,,Minnesota,61,Construction,,50000000,littfintruss.com
2972,LITTLE RAPIDS CORPORATION,,,201-500,Paper and Forest Product Manufacturing,,87.4M,http://www.littlerapids.com
2974,LITTLE TIKES,,,"1,001-5,000",Manufacturing,,450M,http://www.littletikes.com
2980,LLFLEX,,Kentucky,78,Packaging & Containers,,$120.0M,llflex.com
2985,LNS NORTH AMERICA,,,"501-1,000",Machinery Manufacturing,,41.8M,http://www.LNS-northamerica.com
2987,LOC PERFORMANCE,,,"501-1,000",Manufacturing,,120M,http://www.locperformance.com
2989,LOCK JOINT TUBE,,Indiana,170,Manufacturing,,25000000,ljtube.com
3002,LOGAN ALUMINUM,,Kentucky,760,mining & metals,,228900000,logan-aluminum.com
3006,LOMAR MACHINE & TOOL COMPANY,,Michigan,62,machinery,,$25.6M,lomar.com
3010,LORDSTOWN MOTORS,,,"501-1,000",Motor Vehicle Manufacturing,,187.1M,http://www.lordstownmotors.com
3014,LOUISVILLE LADDER,,Kentucky,500,Mechanical Or Industrial Engineering,,320000000,louisvilleladder.com
3016,LOWELL INC.,,Minnesota,61,medical devices,,30037000,lowellinc.com
3019,LSI INDUSTRIES,,,"1,001-5,000","Appliances, Electrical, and Electronics Manufacturing",,455.1M,http://www.lsicorp.com
3021,LUTRON ELECTRONICS,,,2800,"Appliances, Electrical, and Electronics Manufacturing",,210000000,lutron.com
3023,M8 PHARMACEUTICALS,,,201-500,Pharmaceutical Manufacturing,,258M,http://www.m8pharmaceuticals.com
3027,MAC PAPERS AND PACKAGING,,,"501-1,000","Transportation, Logistics, Supply Chain and Storage",,469.7M,https://www.macpapers.com
3030,MAC TOOLS,,,201-500,Motor Vehicle Manufacturing,,115.5M,http://www.mactools.com
3032,MAC VALVES,,,"501-1,000",Automation Machinery Manufacturing,,300M,http://www.macvalves.com
3034,MACTAC,,,"501-1,000",Chemical Manufacturing,,339M,http://www.mactac.com
3036,MADISON-KIPP CORPORATION,,,201-500,Motor Vehicle Manufacturing,,37.0M,http://madison-kipp.com
3041,MAGIC LEAP,,,1400,electrical/electronic manufacturing,,185000000,http://www.magicleap.com
3043,MAGNA MACHINE CO.,,,51-200,Machinery Manufacturing,,40.6M,https://www.magna-machine.com/
3049,MAGNUM MAGNETICS,,,201-500,Consumer Goods,,59M,http://www.magnummagnetics.com
3053,MAJOR TOOL & MACHINE,,Indiana,240,Defense & Space,,89000000,majortool.com
3055,MALCO PRODUCTS,,,201-500,Chemical Manufacturing,,96.9M,http://www.malcopro.com
3057,MAMMOTOME,,,"501-1,000",Medical Equipment Manufacturing,,170M,http://www.mammotome.com
3059,MANITOWOC TOOL & MACHINING,,,201-500,Machinery Manufacturing,,48.6M,http://www.mantool.com
3061,MANSFIELD PLUMBING,,,"501-1,000",Building Materials,,51.8M,http://www.mansfieldplumbing.com
3066,MANUFACTURING TECHNOLOGY,,,201-500,Machinery Manufacturing,,40M,http://www.MTIwelding.com
3070,MARCHANT SCHMIDT,,Wisconsin,110,machinery,,35500000,marchantschmidt.com
3074,MARION BODY WORKS,,,201-500,Motor Vehicle Manufacturing,,54.4M,https://www.marionbody.com
3076,MARION TOOL & DIE,,Indiana,63,Aviation & Aerospace,,27980000,mariontool.com
3078,MARKING SERVICES,,Wisconsin,360,Construction,,67900000,markserv.com
3081,MARMON/KEYSTONE,,,201-500,Mining,,307.5M,http://www.marmonkeystone.com
3084,MARSH ELECTRONICS,,,51-200,"Appliances, Electrical, and Electronics Manufacturing",,180M,http://www.marshelectronics.com
3090,MARTIN CALIBRATION INC.,,Minnesota,55,machinery,,$68.3M,martincalibration.com
3092,MARXMODA,,,67,Furniture and Home Furnishings Manufacturing,,60600000,marxmoda.com
3094,MASTER FLUID SOLUTIONS,,,201-500,Chemical Manufacturing,,125M,https://www.masterfluids.com
3099,"MASTERMOLD, LLC",,Wisconsin,94,plastics,,$54.0M,mastermoldllc.com
3101,MASTERS PHARMACEUTICAL,,,201-500,Pharmaceutical Manufacturing,,36.2M,http://www.MastersRx.com
3103,MASTERSON FOODS,,,51-200,Food & Beverages,,32.2M,http://www.mastersonfoods.com
3105,MATENAER CORPORATION,,Wisconsin,55,machinery,,44800000,matenaer.com
3107,MATRIC LIMITED,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,81.4M,http://www.matric.com/
3109,MATRIX DESIGN GROUP,,,81,electrical/electronic manufacturing,,29419000,http://www.matrixteam.com
3111,MAYCO INTERNATIONAL,,Michigan,550,Automotive,,52100000,maycointernational.com
3113,MAYFRAN INTERNATIONAL,,,201-500,Automation Machinery Manufacturing,,150M,http://www.mayfran.com
3115,MAYSTEEL INDUSTRIES,,,"501-1,000",Industrial Machinery Manufacturing,,112.5M,http://www.maysteel.com
3117,MAZZELLA COMPANIES,,,"501-1,000",Automation Machinery Manufacturing,,320M,http://www.mazzellacompanies.com
3122,MBW,,Wisconsin,79,Construction,,53637000,mbw.com
3125,MC ASSEMBLY,,,230,electrical/electronic manufacturing,,600000000,http://www.mcati.com
3127,MC TANK TRANSPORT,https://www.linkedin.com/company/1900799,Louisiana,76,Transportation/Trucking/Railroad,,50000000,mctank.com
3131,MCC SOLUTIONS,,,120,Retail,,39430000,http://www.mccsolutions.net
3133,MCE,,,201-500,Automation Machinery Manufacturing,,34.2M,http://www.mceautomation.com
3136,MCGREGOR METAL,,,201-500,Industrial Machinery Manufacturing,,43M,http://www.mcgregormetal.com
3138,MCLANAHAN,,,201-500,Machinery Manufacturing,,88.4M,http://www.mclanahan.com
3142,MCMILLAN ELECTRIC COMPANY,,,201-500,"Appliances, Electrical, and Electronics Manufacturing",,70.1M,http://www.mcmillanelectric.com
3144,MCNEILUS TRUCK AND MANUFACTURING,,Minnesota,570,Automotive,,142000000,mcneiluscompanies.com
3147,MCSWAIN CARPETS & FLOORS,,,120,Retail,,49901000,http://www.mcswaincarpets.com
3149,MDESIGN,,,201-500,Consumer Goods,,32.1M,https://mdesignhomedecor.com/
3151,"MEC (MAYVILLE ENGINEERING COMPANY, INC.)",,,"1,001-5,000",Industrial Machinery Manufacturing,,478.5M,http://www.mecinc.com
3154,MEDARTIS,,Indiana,94,medical devices,,166900000,medartisusa.com
3157,MENASHA PACKAGING,,,"1,001-5,000",Packaging and Containers Manufacturing,,387.3M,http://www.menasha.com
3160,MERCHANTS FOODSERVICE,,,"501-1,000",Food and Beverage Services,,311.6M,http://merchantsfoodservice.com
3162,MERCURY PLASTICS,,,201-500,Plastics Manufacturing,,75M,https://www.mercury-plastics.com
3166,MERIDIAN BIOSCIENCE,,,"501-1,000",Medical Equipment Manufacturing,,333M,http://www.meridianbioscience.com
3170,MERRILL,,,201-500,Defense and Space Manufacturing,,91M,http://www.MERRILLtg.com
3172,MERRILL STEEL,,,201-500,Fabricated Metal Products,,37.5M,http://www.merrillsteel.com/
3177,"MES, INC",,,51-200,Motor Vehicle Manufacturing,,116.1M,http://www.mesinc.net
3179,MESSER CUTTING SYSTEMS,,,"501-1,000",Machinery Manufacturing,,45M,http://www.messer-cutting.com
3181,METAL CRAFT AND RIVERSIDE MACHINE & ENGINEERING,,Minnesota,160,Aviation & Aerospace,,80000000,mcandrs.com
3185,"METALCRAFT OF MAYVILLE, INC.",,,"501-1,000",Industrial Machinery Manufacturing,,53.4M,http://www.mtlcraft.com
3187,METALTEK INTERNATIONAL,,Wisconsin,520,mining & metals,,210700000,metaltek.com
3189,METALWORKING,,,51-200,Machinery Manufacturing,,63M,http://www.metalworkinggroup.com
3197,METZGERS PRINTING & MAILING,,,51-200,Printing Services,,30M,http://www.metzgers.com
3199,MFP AUTOMATION ENGINEERING,,,51-200,Automation Machinery Manufacturing,,51.1M,http://www.mifp.com
3204,MGS MFG. GROUP,,,"1,001-5,000",Plastics Manufacturing,,240M,http://www.mgsmfg.com
3207,MICELI DAIRY,,,201-500,Food and Beverage Manufacturing,,72.4M,http://www.miceli-dairy.com
3209,MICHELMAN,,,201-500,Chemical Manufacturing,,225M,http://www.michelman.com
3211,MICHIGAN SUGAR,,,"1,001-5,000",Food and Beverage Manufacturing,,46.6M,http://www.michigansugar.com
3213,MICHIGAN TURKEY PRODUCERS,,,"501-1,000",Food and Beverage Manufacturing,,46.0M,https://www.miturkey.com
3215,MICKEY THOMPSON TIRES,,,51-200,Motor Vehicle Manufacturing,,32.1M,http://www.mickeythompsontires.com
3218,MICRO CONTROL COMPANY,,,120,"Appliances, Electrical, and Electronics Manufacturing",,58000000,microcontrol.com
3220,MICRODENTAL LABORATORIES,,,201-500,Medical Device,,45450000,http://www.microdental.com
3222,MICROMATIC LLC,,Indiana,56,machinery,,40000000,micromaticllc.com
3224,MICROMERITICS INSTRUMENT,,,300,electrical/electronic manufacturing,,30000000,http://www.micromeritics.com
3226,MICROMETL CORPORATION,,Indiana,180,machinery,,$341.6M,micrometl.com
3228,MICROPOISE,,,201-500,Measuring and Control Instrument Manufacturing,,48.2M,http://www.micropoise.com
3230,MICRO-POISE MEASUREMENT,,,120,electrical/electronic manufacturing,,48159000,http://www.micropoise.com
3232,MICROPULSE,,Indiana,170,medical devices,,36569000,micropulseinc.com
3237,MICRO-TECH ENDOSCOPY,,Michigan,140,medical devices,,25000000,mtendoscopy.com
3239,MIDMARK,,,"1,001-5,000",Medical Equipment Manufacturing,,500M,http://www.midmark.com
3241,MIDWAY PRODUCTS GROUP,,Michigan,280,Automotive,,405500000,midwayproducts.com
3244,MIDWEST INDUSTRIAL SUPPLY,,,51-200,Chemical Manufacturing,,58.9M,https://www.midwestind.com
3246,MIDWESTERN AUTO GROUP,,,201-500,Motor Vehicle Manufacturing,,52M,http://www.magcars.com
3248,MIDWESTERN PET FOODS,,Indiana,150,Mechanical Or Industrial Engineering,,80000000,midwesternpetfoods.com
3254,"MILK SOURCE, LLC",,,"501-1,000",Dairy Product Manufacturing,,82.1M,http://www.milksource.com
3257,MILLCRAFT,,,201-500,Paper and Forest Product Manufacturing,,55M,http://millcraft.com
3259,MILLER ELECTRIC MFG. LLC,,,"1,001-5,000",Machinery Manufacturing,,380.2M,http://www.MillerWelds.com
3262,MILLER FABRICATION SOLUTIONS,,,201-500,Machinery Manufacturing,,30.4M,http://www.millerfabricationsolutions.com
3264,MILLER TRANSFER,https://www.linkedin.com/company/miller-transfer,,88,Transportation/Trucking/Railroad,,10000000,millertransfer.com
3268,MILLERBERND,,,201-500,Construction,,30M,http://www.millerbernd.com
3270,MILLER'S TEXTILE,,,51-200,Textile Manufacturing,,30.4M,http://www.millerstextile.com
3272,MILSCO LLC,,,"501-1,000",Motor Vehicle Manufacturing,,300M,http://www.milsco.com
3276,MILWAUKEE ELECTRONICS,,,"501-1,000","Appliances, Electrical, and Electronics Manufacturing",,70M,http://www.MilwaukeeElectronics.com
3278,MILWAUKEE FORGE,,Wisconsin,56,machinery,,39979000,milwaukeeforge.com
3286,"MIRACLE-EAR, INC.",,Minnesota,1300,medical devices,,100000000,miracle-ear.com
3290,MITSUBISHI ELECTRIC POWER PRODUCTS,,,"1,001-5,000","Appliances, Electrical, and Electronics Manufacturing",,400M,http://www.meppi.com
3293,MITSUBISHI ELECTRIC TRANE US,,,760,electrical/electronic manufacturing,,125000000,https://www.mitsubishicomfort.com/
3295,MME GROUP INC.,,Minnesota,200,Plastics Manufacturing,,45500000,mmegroupinc.com
3303,MODANI FURNITURE,,,110,Retail,,29724000,http://www.modani.com
3305,MODELS & TOOLS,,,77,Aviation and Aerospace Component Manufacturing,,25200000,modelsandtools.com
3307,MODERN,,,201-500,Machinery Manufacturing,,67.6M,http://www.moderngroup.com
3309,MODERN OFFICE METHODS,,,200,Retail,,29878000,http://www.momnet.com
3311,MODINEER,,,"1,001-5,000",Manufacturing,,115M,http://www.modineer.com
3313,MOELLER AEROSPACE,,,"501-1,000",Aviation and Aerospace Component Manufacturing,,50M,https://www.moeller-aerospace.com
3315,MOELLER PRECISION TOOL,,Michigan,110,machinery,,54400000,moellerprecisiontool.com
3317,MOLDED FIBER GLASS COMPANIES,,,"1,001-5,000",Plastics Manufacturing,,200M,http://www.moldedfiberglass.com
3321,MONROE TRUCK EQUIPMENT,,,"501-1,000",Motor Vehicle Manufacturing,,270M,http://www.monroetruck.com
3323,MONTI,,,150,electrical/electronic manufacturing,,60000000,http://www.monti-inc.com
3329,MORNINGSTAR CORPORATION,,Pennsylvania,52,electrical/electronic manufacturing,,25000000,morningstarcorp.com
3331,MORRELL,,,51-200,Automation Machinery Manufacturing,,50M,http://www.morrell-group.com
3333,MORRELL GROUP,,,170,Automation Machinery Manufacturing,,50000000,morrell-group.com
3337,MOSSY OAK,,,180,Retail,,40816000,http://www.mossyoak.com
3339,MOTION DYNAMICS CORPORATION,,Michigan,80,medical devices,,26000000,motiondc.com
3342,MOTUS INTEGRATED,,,"1,001-5,000",Motor Vehicle Manufacturing,,40M,http://www.motusintegrated.com
3344,MOUNTAIN HIGH OUTFITTERS,,,150,Retail,,26057000,http://www.mountainhighoutfitters.com
3348,"MPI | MAGNETIC PRODUCTS, INC.",,Michigan,51,machinery,,25000000,mpimagnet.com
3350,MPI PRODUCTS,,,"1,001-5,000",Motor Vehicle Manufacturing,,75000000,http://www.mpiproducts.com
3352,MRPC,,,51-200,Medical Equipment Manufacturing,,48M,https://www.mrpcorp.com/
3358,MRS. T'S PIEROGIES,,,201-500,Food Production,,68.5M,http://www.mrstspierogies.com
3360,MS METAL SOLUTIONS,,Michigan,72,Machinery Manufacturing,,$35.6M,msmetalsolutions.com
3362,MSSC,,,"501-1,000",Motor Vehicle Manufacturing,,109.1M,http://www.msscna.com
3364,MTI,,,"501-1,000",Aviation and Aerospace Component Manufacturing,,52.5M,http://www.MTImotion.com
3372,MUM INDUSTRIES,,,51-200,"Appliances, Electrical, and Electronics Manufacturing",,45M,http://www.mumindustries.com/
3374,MUSASHI AMERICAS,,Michigan,300,Automotive,,148500000,musashiamericas.com
3376,MUZA METAL PRODUCTS,,Wisconsin,98,mining & metals,,42000000,muzametal.com
3378,MYERS EMERGENCY POWER SYSTEMS,,,51,"Appliances, Electrical, and Electronics Manufacturing",,32100000,myerseps.com
3380,NABCO ENTRANCES,,Wisconsin,180,Construction,,75000000,nabcoentrances.com
3383,NANOLUMENS,,,110,electrical/electronic manufacturing,,29000000,http://www.nanolumens.com
3387,NANSHAN AMERICA,,Indiana,140,mining & metals,,70200000,nanshanusa.com
3390,NASCO,,,210,Retail,,318300000,nascoeducation.com
3392,NATIONAL BUSINESS FURNITURE,,,201-500,Furniture and Home Furnishings Manufacturing,,119.1M,https://www.nationalbusinessfurniture.com/
3395,NATIONAL CENTER FOR DEFENSE MANUFACTURING & MACHINING (NCDMM),,Pennsylvania,51,Defense & Space,,$43M,ncdmm.org
3398,NATIONAL ELECTRIC COIL,,,150,electrical/electronic manufacturing,,46427000,http://www.national-electric-coil.com
3402,NATIONAL MACHINERY,,,201-500,Machinery Manufacturing,,44.2M,http://www.nationalmachinery.com/
3405,NATIONAL OAK DISTRIBUTORS,,,201-500,Motor Vehicle Manufacturing,,97M,http://www.nationaloak.com
3408,NATIONAL PRESTO INDUSTRIES,,,"501-1,000",Manufacturing,,308.0M,http://www.gopresto.com/
3422,NATURAL LIFE,,,320,Retail,,29236000,http://www.naturallife.com
3424,NATUS MEDICAL INCORPORATED,,,"1,001-5,000",Medical Equipment Manufacturing,,478.3M,http://www.natus.com
3426,NAVISTAR DEFENSE,,,201-500,Defense and Space Manufacturing,,151M,http://www.NavistarDefense.com
3428,NCC AUTOMATED SYSTEMS,,Pennsylvania,71,Industrial Automation,,118300000,nccas.com
3431,NCP COATINGS,,,51-200,Chemical Manufacturing,,31.4M,http://www.ncpcoatings.com
3433,ND INDUSTRIES,,,201-500,Automation Machinery Manufacturing,,42.3M,https://www.ndindustries.com
3435,NDC TECHNOLOGIES,,,201-500,Automation Machinery Manufacturing,,86.5M,http://www.ndc.com
3437,"NEENAH ENTERPRISES, INC.",,,"1,001-5,000",Manufacturing,,149.6M,http://www.groupnei.com
3440,NEENAH FOUNDRY COMPANY,,Wisconsin,200,mining & metals,,214000000,groupnei.com
3443,NEFF PACKAGING SOLUTIONS,,Kentucky,55,Packaging & Containers,,44000000,neffpackaging.com
3445,NELSON GLOBAL,,,810,Industrial Machinery Manufacturing,,600000000,nelsongp.com
3449,NEOCOIL,,Wisconsin,60,medical devices,,33400000,neocoil.com
3452,NEPTUNE TECHNOLOGY GROUP,,,630,electrical/electronic manufacturing,,53781000,http://www.neptunetg.com
3454,NEURONETICS,,,201-500,Medical Equipment Manufacturing,,65.2M,http://www.neurostar.com/
3456,NEW BERLIN PLASTICS,,Wisconsin,70,plastics,,$36.9M,nbplastics.com
3458,NEW HUDSON FACADES,,Pennsylvania,230,Construction,,28900000,newhudsonfacades.com
3461,NEW PIG,,,"501-1,000",Manufacturing,,203.7M,http://www.newpig.com
3463,NEW PLASTICS,,Wisconsin,80,plastics,,$27.5M,newplasticscorp.com
3465,NEW STANDARD,,,201-500,Manufacturing,,70M,http://www.newstandard.com
3468,NEWAGE INDUSTRIES,,,201-500,Plastics Manufacturing,,79.3M,http://www.newageindustries.com
3476,NEXT LEVEL DISTRIBUTION,,,200,electrical/electronic manufacturing,,28071000,http://www.getnextlevel.com
3480,NEXTEK,,,120,electrical/electronic manufacturing,,37000000,http://www.nextekinc.com
3482,NEXTERN,,Minnesota,1000,medical devices,,81600000,nextern.com
3484,NEXTHERMAL,,Michigan,70,machinery,,$25.8M,nexthermal.com
3486,NGK SPARK PLUGS,,,"501-1,000",Motor Vehicle Manufacturing,,40000000,http://www.ngksparkplugs.com
3493,NICO CORPORATION,,Indiana,94,medical devices,,25000000,niconeuro.com
3498,NIDEC MINSTER,,,"501-1,000",Machinery Manufacturing,,148.5M,http://www.minster.com
3502,NINE LINE APPAREL,,,120,Apparel & Fashion,,27106000,http://www.ninelineapparel.com
3509,NITERRA NORTH AMERICA,,Michigan,190,Automotive,,40000000,ngksparkplugs.com
3511,NIVEL,,,"501-1,000",Motor Vehicle Manufacturing,,210M,https://www.nivel.com
3513,NMG AEROSPACE,,,201-500,Aviation and Aerospace Component Manufacturing,,87M,http://www.nmgaerospace.com
